url,brand,first_reg,type,body_type,engine,fuel,mileage,drive_type,gearbox,color,price
https://www.auto24.ee/soidukid/4040922,Volvo V90 Cross Country,2018,sõiduauto,universaal,2.0 D4 140kW,diisel,243189,nelikvedu,automaat,hall,21999
https://www.auto24.ee/soidukid/4248962,Volvo V90 Cross Country AWD Inscription,2017,sõiduauto,universaal,2.0 173kW,diisel,229000,nelikvedu,automaat (8-Käiguline),pruun met.,21999
https://www.auto24.ee/soidukid/4229798,Audi A5 S-line,2017,sõiduauto,kupee,2.0 140kW,bensiin,96000,esivedu,automaat,hõbedane,22000
https://www.auto24.ee/soidukid/4243955,Audi A6 allroad,2016,sõiduauto,universaal,3.0 200kW,diisel,186000,nelikvedu,automaat,must,22000
https://www.auto24.ee/soidukid/4230350,BMW 850,1991,sõiduauto,kupee,5.0 220kW,bensiin,193000,tagavedu,automaat,tumepunane,22000
https://www.auto24.ee/soidukid/4182681,BMW X5,2014,maastur,universaal,3.0 190kW,diisel,,nelikvedu,automaat,must,22000
https://www.auto24.ee/soidukid/3784148,BMW X5 M FACELIFT COMFORT Xdrive,2011,maastur,universaal,4.4 V8 BI-TURBO 408kW,bensiin,,nelikvedu,automaat (XDRIVE),must met.,22000
https://www.auto24.ee/soidukid/3940533,BMW X5 M-paket 40D,2015,sõiduauto,mahtuniversaal,3.0 230kW,diisel,194000,nelikvedu,automaat,must met. (Black Sapphire metallic),22000
https://www.auto24.ee/soidukid/4233215,BMW X5 M-pakett,2017,maastur,universaal,3.0 190kW,diisel,270358,nelikvedu,automaat,tumesinine,22000
https://www.auto24.ee/soidukid/4224745,Citroen Berlingo,2022,sõiduauto,mahtuniversaal,1.5 96kW,diisel,47500,esivedu,manuaal,sinine,22000
https://www.auto24.ee/soidukid/4246564,Hyundai i30,2020,sõiduauto,luukpära,2.0 202kW,bensiin,69000,esivedu,manuaal,punane (Engine Red),22000
https://www.auto24.ee/soidukid/4114943,Land Rover Range Rover Sport,2014,sõiduauto,universaal,3.0 215kW,diisel,199000,nelikvedu,poolautomaat,punane,22000
https://www.auto24.ee/soidukid/4240535,Lexus CT 200h,2018,sõiduauto,luukpära,1.8 73kW,hübriid (bensiin / elekter),25100,esivedu,automaat,hall,22000
https://www.auto24.ee/soidukid/4215913,Mercedes-Benz C 200,2020,sõiduauto,universaal,1.5 135kW,hübriid (bensiin / elekter),159900,tagavedu,automaat,must met.,22000
https://www.auto24.ee/soidukid/4143476,Mercedes-Benz GLC 250 Airmatic 4M ILS,2015,sõiduauto,universaal,2.1 150kW,diisel,239171,nelikvedu,automaat,valge,22000
https://www.auto24.ee/soidukid/3766903,Mitsubishi L200 Instyle Navi 4WD,2019,maastur,pikap,2.4 DI-D 133kW,diisel,119500,nelikvedu,automaat,must met.,22000
https://www.auto24.ee/soidukid/3693652,Nissan Qashqai MHEV Acenta,2023,sõiduauto,universaal,1.3 116kW,hübriid (bensiin / elekter),40300,esivedu,automaat,punane (Red (Z10)),22000
https://www.auto24.ee/soidukid/4194911,Peugeot Traveller,2018,sõiduauto,mahtuniversaal,2.0 130kW,diisel,165500,esivedu,automaat,hall met.,22000
https://www.auto24.ee/soidukid/4235640,Renault Koleos,2022,maastur,universaal,2.0 135kW,diisel,39300,nelikvedu,automaat,valge met.,22000
https://www.auto24.ee/soidukid/4248532,Skoda Superb,2021,sõiduauto,sedaan,1.5 110kW,bensiin,96000,esivedu,automaat,hall,22000
https://www.auto24.ee/soidukid/4063266,Skoda Superb Sportline,2019,sõiduauto,universaal,1.5 110kW,bensiin,79998,esivedu,automaat,kollane met. (Dranon skin),22000
https://www.auto24.ee/soidukid/3693328,Toyota C-HR Style Plus,2022,sõiduauto,luukpära,1.8 72kW,hübriid (bensiin / elekter),48200,esivedu,automaat,hõbedane met. (Bi-tone Silver Metallic/Black (2VU)),22000
https://www.auto24.ee/soidukid/4226866,Toyota RAV4,2018,sõiduauto,mahtuniversaal,2.5 114kW,hübriid (bensiin / elekter),125760,nelikvedu,automaat,valge met.,22000
https://www.auto24.ee/soidukid/4210673,Volkswagen Sharan Highline,2018,sõiduauto,mahtuniversaal,2.0 162kW,bensiin,122910,esivedu,automaat,pruun met.,22000
https://www.auto24.ee/soidukid/4249953,Volvo V90 Cross Country,2017,sõiduauto,universaal,2.0 173kW,diisel,247000,nelikvedu,automaat,pruun,22000
https://www.auto24.ee/soidukid/4247152,Ford Ranger,2018,sõiduauto,pikap,2.2 118kW,diisel,172187,nelikvedu,manuaal,hall,22196
https://www.auto24.ee/soidukid/4215300,Audi A5 Sportback Quattro,2017,sõiduauto,luukpära,3.0 160kW,diisel,150331,nelikvedu,automaat,valge,22200
https://www.auto24.ee/soidukid/4224201,Dodge RAM 1500 Laramie,2016,maastur,pikap,3.0 179kW,diisel,228000,nelikvedu,automaat,must,22200
https://www.auto24.ee/soidukid/4229560,Kia Stonic EX,2025,sõiduauto,universaal,1.0 73kW,bensiin,2000,esivedu,automaat,valge,22200
https://www.auto24.ee/soidukid/4116569,Tesla Model 3 SR+,2021,sõiduauto,sedaan,239kW,elekter,106500,tagavedu,automaat,valge met. (Pearl White (PPSW)),22250
https://www.auto24.ee/soidukid/4223978,Volkswagen T-Cross,2024,sõiduauto,universaal,1.0 81kW,bensiin,11323,esivedu,automaat,hall met.,22250
